aktivnost,A_%,B_%,razlika_pp
Business,4.0,0.0,-4.0
Education,6.0,2.0,-4.0
Leisure,34.0,42.0,8.0
Personal,20.0,14.0,-6.0
Shopping,14.0,8.0,-6.0
Transport,4.0,4.0,0.0
Work,18.0,30.0,12.0
