scenarij,TimeStep,kategorija,pos_zgornja,neg_zgornja,vozila_zgornja,pos_spodnja,neg_spodnja,vozila_spodnja,Cas
20pct,0,stanovanjsko,121011.80547505853,24140.19452494148,3360,0.0,0.0,0.0,00:00
20pct,1,stanovanjsko,121011.80547505853,24140.19452494148,3360,0.0,0.0,0.0,00:15
20pct,2,stanovanjsko,121011.80547505853,24140.19452494148,3360,0.0,0.0,0.0,00:30
20pct,3,stanovanjsko,121011.80547505853,24140.19452494148,3360,0.0,0.0,0.0,00:45
20pct,4,stanovanjsko,121011.80547505853,24140.19452494148,3360,0.0,0.0,0.0,01:00
20pct,5,stanovanjsko,121011.80547505853,24140.19452494148,3360,0.0,0.0,0.0,01:15
20pct,6,stanovanjsko,121011.80547505853,24140.19452494148,3360,0.0,0.0,0.0,01:30
20pct,7,stanovanjsko,121011.80547505853,24140.19452494148,3360,0.0,0.0,0.0,01:45
20pct,8,stanovanjsko,121011.80547505853,24140.19452494148,3360,0.0,0.0,0.0,02:00
20pct,9,stanovanjsko,121011.80547505853,24140.19452494148,3360,0.0,0.0,0.0,02:15
20pct,10,stanovanjsko,121011.80547505853,24140.19452494148,3360,0.0,0.0,0.0,02:30
20pct,11,stanovanjsko,121011.80547505853,24140.19452494148,3360,0.0,0.0,0.0,02:45
20pct,12,stanovanjsko,121011.80547505853,24140.19452494148,3360,0.0,0.0,0.0,03:00
20pct,13,stanovanjsko,121011.80547505853,24140.19452494148,3360,0.0,0.0,0.0,03:15
20pct,14,stanovanjsko,121011.80547505853,24140.19452494148,3360,0.0,0.0,0.0,03:30
20pct,15,stanovanjsko,121011.80547505853,24140.19452494148,3360,0.0,0.0,0.0,03:45
20pct,16,stanovanjsko,121011.80547505853,24140.19452494148,3360,0.0,0.0,0.0,04:00
20pct,17,stanovanjsko,121011.80547505853,24140.19452494148,3360,0.0,0.0,0.0,04:15
20pct,18,stanovanjsko,121011.80547505853,24140.19452494148,3360,0.0,0.0,0.0,04:30
20pct,19,stanovanjsko,121011.80547505853,24140.19452494148,3360,0.0,0.0,0.0,04:45
20pct,20,stanovanjsko,121011.80547505853,24140.19452494148,3360,0.0,0.0,0.0,05:00
20pct,21,stanovanjsko,121011.80547505853,24140.19452494148,3360,0.0,0.0,0.0,05:15
20pct,22,stanovanjsko,121011.80547505853,24140.19452494148,3360,0.0,0.0,0.0,05:30
20pct,23,stanovanjsko,121011.80547505853,24140.19452494148,3360,0.0,0.0,0.0,05:45
20pct,24,stanovanjsko,119195.17202661134,23753.62797338865,3309,0.0,0.0,0.0,06:00
20pct,25,drugo_neopredeljeno,183.41666508544353,32.58333491455645,5,0.0,0.0,0.0,06:15
20pct,25,industrijsko,392.3227838126793,82.87721618732071,11,392.3227838126793,82.87721618732071,11.0,06:15
20pct,25,izobrazevalno,31.2389046657095,11.9610953342905,1,0.0,0.0,0.0,06:15
20pct,25,poslovno,27.86660108195736,15.33339891804264,1,27.86660108195736,15.33339891804264,1.0,06:15
20pct,25,stanovanjsko,117468.41304676991,23406.78695323009,3261,0.0,0.0,0.0,06:15
20pct,26,delovno_neopredeljeno,65.03524036568497,21.364759634315035,2,65.03524036568497,21.364759634315035,2.0,06:30
20pct,26,drugo_neopredeljeno,324.95158803386454,63.84841196613544,9,0.0,0.0,0.0,06:30
20pct,26,industrijsko,796.0151677547397,197.58483224526034,23,768.6006167383455,181.79938326165455,22.0,06:30
20pct,26,izobrazevalno,61.85710528763077,24.54289471236923,2,0.0,0.0,0.0,06:30
20pct,26,poslovno,97.15726370975113,32.44273629024885,3,97.15726370975113,32.44273629024885,3.0,06:30
20pct,26,stanovanjsko,116247.61843718513,23201.981562814875,3228,0.0,0.0,0.0,06:30
20pct,26,zelene_povrsine,37.95375598117858,5.246244018821415,1,0.0,0.0,0.0,06:30
20pct,27,delovno_neopredeljeno,145.71942318806805,27.08057681193197,4,145.71942318806805,27.08057681193197,4.0,06:45
