scenarij,TimeStep,Cas,pos_flex_kWh_zgornja,neg_flex_kWh_zgornja,parkirana_vozila_zgornja,pos_flex_kWh_spodnja,neg_flex_kWh_spodnja,parkirana_vozila_spodnja
20pct,0,00:00,121011.8,24140.2,3360,0.0,0.0,0
20pct,1,00:15,121011.8,24140.2,3360,0.0,0.0,0
20pct,2,00:30,121011.8,24140.2,3360,0.0,0.0,0
20pct,3,00:45,121011.8,24140.2,3360,0.0,0.0,0
20pct,4,01:00,121011.8,24140.2,3360,0.0,0.0,0
20pct,5,01:15,121011.8,24140.2,3360,0.0,0.0,0
20pct,6,01:30,121011.8,24140.2,3360,0.0,0.0,0
20pct,7,01:45,121011.8,24140.2,3360,0.0,0.0,0
20pct,8,02:00,121011.8,24140.2,3360,0.0,0.0,0
20pct,9,02:15,121011.8,24140.2,3360,0.0,0.0,0
20pct,10,02:30,121011.8,24140.2,3360,0.0,0.0,0
20pct,11,02:45,121011.8,24140.2,3360,0.0,0.0,0
20pct,12,03:00,121011.8,24140.2,3360,0.0,0.0,0
20pct,13,03:15,121011.8,24140.2,3360,0.0,0.0,0
20pct,14,03:30,121011.8,24140.2,3360,0.0,0.0,0
20pct,15,03:45,121011.8,24140.2,3360,0.0,0.0,0
20pct,16,04:00,121011.8,24140.2,3360,0.0,0.0,0
20pct,17,04:15,121011.8,24140.2,3360,0.0,0.0,0
20pct,18,04:30,121011.8,24140.2,3360,0.0,0.0,0
20pct,19,04:45,121011.8,24140.2,3360,0.0,0.0,0
20pct,20,05:00,121011.8,24140.2,3360,0.0,0.0,0
20pct,21,05:15,121011.8,24140.2,3360,0.0,0.0,0
20pct,22,05:30,121011.8,24140.2,3360,0.0,0.0,0
20pct,23,05:45,121011.8,24140.2,3360,0.0,0.0,0
20pct,24,06:00,119195.2,23753.6,3309,0.0,0.0,0
20pct,25,06:15,118103.3,23549.5,3279,420.2,98.2,12
20pct,26,06:30,117630.6,23547.0,3268,930.8,235.6,27
20pct,27,06:45,117172.0,23573.6,3258,1607.5,422.9,47
20pct,28,07:00,116879.0,23607.4,3252,2266.1,585.1,66
20pct,29,07:15,104932.7,21211.3,2920,3174.4,800.0,92
20pct,30,07:30,98353.8,20187.0,2744,6982.5,1700.7,201
20pct,31,07:45,94709.6,20116.0,2658,12497.1,3141.3,362
20pct,32,08:00,95418.1,20833.1,2691,18415.1,4653.7,534
20pct,33,08:15,94308.2,21295.0,2676,24175.0,6021.8,699
20pct,34,08:30,95665.1,22400.5,2733,30637.7,7594.3,885
20pct,35,08:45,96445.6,23002.4,2765,36069.7,8858.3,1040
20pct,36,09:00,97341.0,23619.0,2800,40708.9,9921.5,1172
20pct,37,09:15,105147.5,25705.3,3029,45011.2,11019.2,1297
20pct,38,09:30,110580.5,27400.3,3194,47574.0,11782.8,1374
20pct,39,09:45,112500.3,28158.9,3256,48469.4,12053.8,1401
20pct,40,10:00,113202.2,28493.8,3280,48763.0,12105.8,1409
20pct,41,10:15,112804.6,28459.4,3270,48370.9,11979.5,1397
20pct,42,10:30,112560.3,28530.9,3266,47947.6,11884.4,1385
20pct,43,10:45,112121.9,28537.3,3256,47346.3,11751.3,1368
20pct,44,11:00,112455.5,28678.9,3267,47010.7,11698.1,1359
20pct,45,11:15,112525.7,28824.7,3272,46883.2,11652.8,1355
20pct,46,11:30,112451.0,28899.4,3272,46858.2,11677.8,1355
20pct,47,11:45,111888.8,28943.2,3260,46715.7,11690.7,1352
20pct,48,12:00,111803.1,29028.9,3260,46375.7,11641.9,1343
20pct,49,12:15,111619.3,29083.1,3257,46169.6,11675.2,1339
20pct,50,12:30,112065.7,29457.5,3276,46077.3,11724.3,1338
20pct,51,12:45,112236.8,29502.4,3281,46000.2,11758.2,1337
20pct,52,13:00,111807.0,29457.0,3270,46414.2,11905.8,1350
20pct,53,13:15,111662.5,29515.1,3268,46696.8,12012.0,1359
20pct,54,13:30,111938.5,29757.5,3280,46785.2,12053.2,1362
20pct,55,13:45,112067.1,29888.1,3286,46982.1,12158.7,1369
20pct,56,14:00,111961.6,29993.6,3286,46862.4,12148.8,1366
20pct,57,14:15,111040.7,29748.1,3259,46531.7,12004.3,1355
20pct,58,14:30,111025.8,29892.6,3262,46099.4,11875.0,1342
20pct,59,14:45,110378.6,29978.2,3249,45499.1,11697.7,1324
20pct,60,15:00,109181.1,29793.3,3217,44460.1,11440.7,1294
20pct,61,15:15,107463.5,29480.5,3170,41693.1,10665.3,1212
20pct,62,15:30,105318.0,29250.0,3115,38046.1,9819.5,1108
20pct,63,15:45,103982.6,29246.2,3084,33711.0,8754.6,983
20pct,64,16:00,102499.6,29001.2,3044,29262.4,7500.8,851
20pct,65,16:15,99838.9,28724.3,2976,22777.8,5907.0,664
20pct,66,16:30,100060.1,29194.3,2992,17857.8,4649.4,521
20pct,67,16:45,99683.4,29571.0,2992,13217.3,3501.1,387
20pct,68,17:00,100619.4,30363.0,3032,8755.3,2433.5,259
20pct,69,17:15,100706.9,30577.9,3039,5476.1,1565.5,163
20pct,70,17:30,101893.4,31205.8,3081,2721.0,907.8,84
20pct,71,17:45,104700.5,32286.7,3171,2023.8,697.8,63
20pct,72,18:00,106229.8,32917.4,3221,1656.7,589.7,52
20pct,73,18:15,107476.0,33442.4,3262,1424.6,519.4,45
20pct,74,18:30,108192.0,33720.0,3285,1156.5,441.9,37
20pct,75,18:45,108385.8,33871.8,3293,954.2,385.0,31
20pct,76,19:00,108285.0,33972.6,3293,891.6,361.2,29
20pct,77,19:15,108763.6,34228.4,3310,860.5,349.1,28
20pct,78,19:30,109218.4,34464.8,3326,649.7,257.5,21
20pct,79,19:45,109180.1,34546.3,3327,594.7,226.1,19
20pct,80,20:00,109312.4,34630.0,3332,592.8,228.0,19
20pct,81,20:15,109175.1,34594.5,3328,495.0,196.2,16
20pct,82,20:30,109167.5,34645.3,3329,415.9,145.7,13
20pct,83,20:45,109117.6,34695.2,3329,191.3,67.9,6
20pct,84,21:00,109525.7,34805.5,3341,191.3,67.9,6
20pct,85,21:15,109321.6,34836.8,3337,118.3,54.5,4
20pct,86,21:30,109356.5,34888.3,3339,81.1,48.5,3
20pct,87,21:45,109498.2,34962.6,3344,51.9,34.5,2
20pct,88,22:00,109651.0,35025.8,3349,51.9,34.5,2
20pct,89,22:15,109547.0,35000.2,3346,26.2,17.0,1
20pct,90,22:30,109599.8,35033.8,3348,0.0,0.0,0
20pct,91,22:45,109733.8,35115.8,3353,0.0,0.0,0
20pct,92,23:00,109813.9,35165.3,3356,0.0,0.0,0
20pct,93,23:15,109876.8,35188.8,3358,0.0,0.0,0
20pct,94,23:30,109953.3,35198.7,3360,0.0,0.0,0
20pct,95,23:45,109893.2,35172.4,3358,0.0,0.0,0
