scenarij,TimeStep,Cas,pos_flex_kWh_zgornja,neg_flex_kWh_zgornja,parkirana_vozila_zgornja,pos_flex_kWh_spodnja,neg_flex_kWh_spodnja,parkirana_vozila_spodnja
50pct,0,00:00,301893.9,61029.3,8401,0.0,0.0,0
50pct,1,00:15,301893.9,61029.3,8401,0.0,0.0,0
50pct,2,00:30,301893.9,61029.3,8401,0.0,0.0,0
50pct,3,00:45,301893.9,61029.3,8401,0.0,0.0,0
50pct,4,01:00,301893.9,61029.3,8401,0.0,0.0,0
50pct,5,01:15,301893.9,61029.3,8401,0.0,0.0,0
50pct,6,01:30,301893.9,61029.3,8401,0.0,0.0,0
50pct,7,01:45,301893.9,61029.3,8401,0.0,0.0,0
50pct,8,02:00,301893.9,61029.3,8401,0.0,0.0,0
50pct,9,02:15,301893.9,61029.3,8401,0.0,0.0,0
50pct,10,02:30,301893.9,61029.3,8401,0.0,0.0,0
50pct,11,02:45,301893.9,61029.3,8401,0.0,0.0,0
50pct,12,03:00,301893.9,61029.3,8401,0.0,0.0,0
50pct,13,03:15,301893.9,61029.3,8401,0.0,0.0,0
50pct,14,03:30,301893.9,61029.3,8401,0.0,0.0,0
50pct,15,03:45,301893.9,61029.3,8401,0.0,0.0,0
50pct,16,04:00,301893.9,61029.3,8401,0.0,0.0,0
50pct,17,04:15,301893.9,61029.3,8401,0.0,0.0,0
50pct,18,04:30,301893.9,61029.3,8401,0.0,0.0,0
50pct,19,04:45,301893.9,61029.3,8401,0.0,0.0,0
50pct,20,05:00,301893.9,61029.3,8401,0.0,0.0,0
50pct,21,05:15,301893.9,61029.3,8401,0.0,0.0,0
50pct,22,05:30,301893.9,61029.3,8401,0.0,0.0,0
50pct,23,05:45,301893.9,61029.3,8401,0.0,0.0,0
50pct,24,06:00,297292.6,60057.8,8272,0.0,0.0,0
50pct,25,06:15,294987.7,59641.1,8209,807.6,229.2,24
50pct,26,06:30,293887.7,59617.9,8183,2280.8,570.4,66
50pct,27,06:45,293884.7,59923.3,8190,4084.0,1013.6,118
50pct,28,07:00,293067.5,59919.7,8171,5452.7,1329.7,157
50pct,29,07:15,262336.7,53887.3,7320,6947.8,1692.2,200
50pct,30,07:30,245928.1,51244.7,6879,15361.8,3732.6,442
50pct,31,07:45,236997.5,50541.7,6656,29013.4,7145.0,837
50pct,32,08:00,241163.4,53201.4,6814,44971.9,11274.5,1302
50pct,33,08:15,238758.6,54310.2,6784,59091.7,14953.1,1714
50pct,34,08:30,238313.2,55965.2,6812,72960.4,18450.8,2116
50pct,35,08:45,238403.0,57473.8,6849,86773.3,21917.9,2516
50pct,36,09:00,243093.2,59998.0,7016,99299.7,25159.5,2881
50pct,37,09:15,263219.0,65533.0,7610,109754.5,27751.1,3183
50pct,38,09:30,275880.8,69244.0,7989,116253.8,29416.6,3372
50pct,39,09:45,281291.2,71091.2,8157,119098.2,30201.0,3456
50pct,40,10:00,282269.9,71667.7,8193,120112.2,30439.8,3485
50pct,41,10:15,281071.9,71483.3,8161,119620.0,30240.8,3469
