scenarij,TimeStep,kategorija,pos_zgornja,neg_zgornja,vozila_zgornja,pos_spodnja,neg_spodnja,vozila_spodnja,Cas
100pct,0,stanovanjsko,604142.71526087,121746.88473912992,16803,0.0,0.0,0.0,00:00
100pct,1,stanovanjsko,604142.71526087,121746.88473912992,16803,0.0,0.0,0.0,00:15
100pct,2,stanovanjsko,604142.71526087,121746.88473912992,16803,0.0,0.0,0.0,00:30
100pct,3,stanovanjsko,604142.71526087,121746.88473912992,16803,0.0,0.0,0.0,00:45
100pct,4,stanovanjsko,604142.71526087,121746.88473912992,16803,0.0,0.0,0.0,01:00
100pct,5,stanovanjsko,604142.71526087,121746.88473912992,16803,0.0,0.0,0.0,01:15
100pct,6,stanovanjsko,604142.71526087,121746.88473912992,16803,0.0,0.0,0.0,01:30
100pct,7,stanovanjsko,604142.71526087,121746.88473912992,16803,0.0,0.0,0.0,01:45
100pct,8,stanovanjsko,604142.71526087,121746.88473912992,16803,0.0,0.0,0.0,02:00
100pct,9,stanovanjsko,604142.71526087,121746.88473912992,16803,0.0,0.0,0.0,02:15
100pct,10,stanovanjsko,604142.71526087,121746.88473912992,16803,0.0,0.0,0.0,02:30
100pct,11,stanovanjsko,604142.71526087,121746.88473912992,16803,0.0,0.0,0.0,02:45
100pct,12,stanovanjsko,604142.71526087,121746.88473912992,16803,0.0,0.0,0.0,03:00
100pct,13,stanovanjsko,604142.71526087,121746.88473912992,16803,0.0,0.0,0.0,03:15
100pct,14,stanovanjsko,604142.71526087,121746.88473912992,16803,0.0,0.0,0.0,03:30
100pct,15,stanovanjsko,604142.71526087,121746.88473912992,16803,0.0,0.0,0.0,03:45
100pct,16,stanovanjsko,604142.71526087,121746.88473912992,16803,0.0,0.0,0.0,04:00
100pct,17,stanovanjsko,604142.71526087,121746.88473912992,16803,0.0,0.0,0.0,04:15
100pct,18,stanovanjsko,604142.71526087,121746.88473912992,16803,0.0,0.0,0.0,04:30
100pct,19,stanovanjsko,604142.71526087,121746.88473912992,16803,0.0,0.0,0.0,04:45
100pct,20,stanovanjsko,604142.71526087,121746.88473912992,16803,0.0,0.0,0.0,05:00
100pct,21,stanovanjsko,604142.71526087,121746.88473912992,16803,0.0,0.0,0.0,05:15
100pct,22,stanovanjsko,604142.71526087,121746.88473912992,16803,0.0,0.0,0.0,05:30
100pct,23,stanovanjsko,604142.71526087,121746.88473912992,16803,0.0,0.0,0.0,05:45
100pct,24,stanovanjsko,596216.6203383709,119996.17966162911,16579,0.0,0.0,0.0,06:00
100pct,25,delovno_neopredeljeno,33.49011340173243,9.70988659826757,1,33.49011340173243,9.70988659826757,1.0,06:15
100pct,25,drugo_neopredeljeno,769.7348655219574,180.66513447804255,22,0.0,0.0,0.0,06:15
100pct,25,industrijsko,1028.706882235051,310.493117764949,31,935.4046868988423,274.1953131011577,28.0,06:15
100pct,25,izobrazevalno,184.69449596815963,74.50550403184037,6,0.0,0.0,0.0,06:15
100pct,25,poslovno,301.3502674342104,44.2497325657896,8,259.2773779361681,43.12262206383192,7.0,06:15
100pct,25,stanovanjsko,588071.7318145308,118507.46818546923,16356,0.0,0.0,0.0,06:15
100pct,26,delovno_neopredeljeno,330.8565560714583,101.14344392854174,10,330.8565560714583,101.14344392854174,10.0,06:30
100pct,26,drugo_neopredeljeno,2062.500648603661,486.2993513963392,59,0.0,0.0,0.0,06:30
100pct,26,industrijsko,3085.347620728728,845.8523792712718,91,2854.4498974984,774.3501025016002,84.0,06:30
100pct,26,izobrazevalno,446.2139384237719,115.38606157622814,13,0.0,0.0,0.0,06:30
100pct,26,poslovno,834.8296492381035,158.77035076189657,23,792.756759740061,157.6432402599389,22.0,06:30
100pct,26,stanovanjsko,581536.0095999225,117353.59040007749,16178,0.0,0.0,0.0,06:30
100pct,26,zelene_povrsine,124.20419683122941,48.59580316877059,4,0.0,0.0,0.0,06:30
100pct,27,delovno_neopredeljeno,1094.8997269824124,287.5002730175877,32,1094.8997269824124,287.5002730175877,32.0,06:45
100pct,27,drugo_neopredeljeno,3667.833258430339,997.766741569661,108,0.0,0.0,0.0,06:45
100pct,27,industrijsko,4576.193096727704,1255.8069032722958,135,4353.241922930755,1176.358077069245,128.0,06:45
100pct,27,izobrazevalno,1019.0702396191645,276.9297603808355,30,0.0,0.0,0.0,06:45
100pct,27,poslovno,1401.2310473642367,326.7689526357631,40,1255.8217039822753,299.3782960177246,36.0,06:45
100pct,27,stanovanjsko,576519.6871172932,116581.11288270679,16044,0.0,0.0,0.0,06:45
100pct,27,zelene_povrsine,365.8377751193314,109.36222488066863,11,0.0,0.0,0.0,06:45
100pct,28,delovno_neopredeljeno,2048.124598914569,457.47540108543103,58,2048.124598914569,457.47540108543103,58.0,07:00
100pct,28,drugo_neopredeljeno,4949.215449064459,1314.7845509355411,145,0.0,0.0,0.0,07:00
100pct,28,industrijsko,6312.873184294395,1722.3268157056048,186,6019.365081738341,1627.0349182616587,177.0,07:00
100pct,28,izobrazevalno,1415.4864742193947,398.91352578060537,42,0.0,0.0,0.0,07:00
100pct,28,poslovno,1961.427869857236,457.7721301427641,56,1745.7237311321014,414.2762688678985,50.0,07:00
100pct,28,stanovanjsko,569866.8698503665,115371.53014963349,15862,0.0,0.0,0.0,07:00
100pct,28,zelene_povrsine,499.86879324924473,148.13120675075533,15,0.0,0.0,0.0,07:00
100pct,29,delovno_neopredeljeno,3041.13031444615,717.26968555385,87,3041.13031444615,717.26968555385,87.0,07:15
100pct,29,drugo_neopredeljeno,5886.302309697839,1587.297690302161,173,0.0,0.0,0.0,07:15
100pct,29,industrijsko,7628.430315442954,2048.369684557045,224,7336.886814237194,1951.113185762806,215.0,07:15
100pct,29,izobrazevalno,2155.8618700870948,608.9381299129051,64,0.0,0.0,0.0,07:15
100pct,29,poslovno,2672.618659950244,610.5813400497562,76,2289.7395844032712,518.260415596729,65.0,07:15
100pct,29,stanovanjsko,503401.912746971,101830.08725302904,14010,0.0,0.0,0.0,07:15
100pct,29,zelene_povrsine,642.1127693035857,178.6872306964144,19,0.0,0.0,0.0,07:15
100pct,30,delovno_neopredeljeno,3769.295518776788,853.104481223212,107,3769.295518776788,853.104481223212,107.0,07:30
100pct,30,drugo_neopredeljeno,11489.965287900432,2938.8347120995686,334,0.0,0.0,0.0,07:30
100pct,30,industrijsko,19317.963675492116,4960.436324507884,562,18792.84456785734,4794.355432142658,546.0,07:30
100pct,30,izobrazevalno,6120.708553519289,1612.0914464807101,179,0.0,0.0,0.0,07:30
100pct,30,poslovno,5979.352219320806,1494.2477806791928,173,5419.780957445677,1362.6190425543232,157.0,07:30
100pct,30,stanovanjsko,442375.8329429347,89804.96705706528,12319,0.0,0.0,0.0,07:30
100pct,30,zelene_povrsine,873.4271006369295,249.77289936307045,26,0.0,0.0,0.0,07:30
100pct,31,delovno_neopredeljeno,6965.304056804836,1717.8959431951641,201,6965.304056804836,1717.8959431951641,201.0,07:45
100pct,31,drugo_neopredeljeno,20947.53942251544,5447.660577484559,611,0.0,0.0,0.0,07:45
100pct,31,industrijsko,36631.942893430954,9332.857106569041,1064,35354.69592748836,8968.504072511638,1026.0,07:45
