scenarij,TimeStep,celica,pos_zgornja,neg_zgornja,vozila_zgornja,Cas,sredisce_lat,sredisce_lon
20pct,0,10_16,171.82047254093683,44.17952745906321,5,00:00,45.8673,15.44665
20pct,0,10_17,368.29076131655665,63.70923868344334,10,00:00,45.8673,15.45311
20pct,0,10_18,317.4586056680125,71.34139433198743,9,00:00,45.8673,15.45957
20pct,0,10_19,440.915042325749,77.484957674251,12,00:00,45.8673,15.46604
20pct,0,10_23,372.6700938949541,102.5299061050459,11,00:00,45.8673,15.49189
20pct,0,10_24,216.96965626477555,42.230343735224466,6,00:00,45.8673,15.49836
20pct,0,11_16,902.0043031633871,134.79569683661282,24,00:00,45.8718,15.44665
20pct,0,12_16,936.774766213825,186.4252337861749,26,00:00,45.87631,15.44665
20pct,0,12_17,283.7002750605797,61.899724939420274,8,00:00,45.87631,15.45311
20pct,0,12_20,29.40984794275441,13.79015205724559,1,00:00,45.87631,15.4725
20pct,0,12_21,1742.4903155301872,374.3096844698127,49,00:00,45.87631,15.47897
20pct,0,13_16,220.16713950855154,39.03286049144847,6,00:00,45.88081,15.44665
20pct,0,13_17,838.2798957212475,155.3201042787525,23,00:00,45.88081,15.45311
20pct,0,13_20,264.9532793613465,37.446720638653474,7,00:00,45.88081,15.4725
20pct,0,13_21,529.7615657732556,75.03843422674441,14,00:00,45.88081,15.47897
20pct,0,14_15,139.81240012613534,32.98759987386467,4,00:00,45.88532,15.44018
20pct,0,14_17,214.01530976110087,45.18469023889915,6,00:00,45.88532,15.45311
20pct,0,14_18,108.05396849537203,21.546031504627987,3,00:00,45.88532,15.45957
20pct,0,15_15,350.71263388929884,81.28736611070111,10,00:00,45.88982,15.44018
20pct,0,15_16,38.99651379384367,4.203486206156331,1,00:00,45.88982,15.44665
20pct,0,15_17,352.44806165539615,79.55193834460383,10,00:00,45.88982,15.45311
20pct,0,15_18,30.18802985501039,13.01197014498961,1,00:00,45.88982,15.45957
20pct,0,16_17,161.5961462785594,11.203853721440595,4,00:00,45.89432,15.45311
20pct,0,16_18,399.53875240263415,75.66124759736579,11,00:00,45.89432,15.45957
20pct,0,16_5,70.42390945624068,15.976090543759321,2,00:00,45.89432,15.37555
20pct,0,16_6,111.8221017565804,17.777898243419614,3,00:00,45.89432,15.38201
20pct,0,17_14,98.9886311882309,30.611368811769097,3,00:00,45.89883,15.43372
20pct,0,17_15,82.66130776769526,3.738692232304739,2,00:00,45.89883,15.44018
20pct,0,17_16,62.233665180899195,24.166334819100797,2,00:00,45.89883,15.44665
20pct,0,17_17,1110.1079444245318,229.0920555754683,31,00:00,45.89883,15.45311
20pct,0,17_18,259.3500636610289,43.04993633897105,7,00:00,45.89883,15.45957
20pct,0,17_19,475.4358954967501,86.16410450324985,13,00:00,45.89883,15.46604
20pct,0,17_2,99.02660546030114,30.573394539698857,3,00:00,45.89883,15.35616
20pct,0,17_20,591.644339193907,99.555660806093,16,00:00,45.89883,15.4725
20pct,0,17_21,540.3627799556868,107.63722004431307,15,00:00,45.89883,15.47897
20pct,0,17_3,72.48271719617196,13.917282803828044,2,00:00,45.89883,15.36262
20pct,0,17_5,287.62147790001643,57.978522099983586,8,00:00,45.89883,15.37555
20pct,0,17_6,195.11297379978777,20.887026200212258,5,00:00,45.89883,15.38201
20pct,0,18_14,37.71531484454843,5.484685155451571,1,00:00,45.90333,15.43372
20pct,0,18_15,632.4548980473667,145.1451019526333,18,00:00,45.90333,15.44018
20pct,0,18_16,169.39038714530804,46.60961285469197,5,00:00,45.90333,15.44665
20pct,0,18_2,287.90392174947505,57.69607825052499,8,00:00,45.90333,15.35616
20pct,0,18_21,615.6804132490474,118.71958675095262,17,00:00,45.90333,15.47897
20pct,0,18_23,644.3178117013521,133.2821882986479,18,00:00,45.90333,15.49189
20pct,0,18_3,322.5776591657067,66.22234083429336,9,00:00,45.90333,15.36262
20pct,0,18_5,30.52328480445448,12.67671519554552,1,00:00,45.90333,15.37555
20pct,0,18_7,102.61393334384434,26.986066656155685,3,00:00,45.90333,15.38848
20pct,0,18_9,211.68938686417806,47.51061313582191,6,00:00,45.90333,15.4014
20pct,0,19_15,471.42474081406914,90.17525918593086,13,00:00,45.90784,15.44018
20pct,0,19_16,1072.605812482202,223.3941875177979,30,00:00,45.90784,15.44665
20pct,0,19_17,186.3952403303221,29.604759669677875,5,00:00,45.90784,15.45311
20pct,0,19_23,151.58070812482384,21.219291875176154,4,00:00,45.90784,15.49189
20pct,0,19_29,37.35752679794275,5.842473202057249,1,00:00,45.90784,15.53067
20pct,0,19_6,170.49973478415862,45.500265215841395,5,00:00,45.90784,15.38201
20pct,0,19_7,107.74559882836866,21.854401171631345,3,00:00,45.90784,15.38848
20pct,0,19_8,42.52175128900432,0.6782487109956753,1,00:00,45.90784,15.39494
20pct,0,19_9,235.2804879938043,23.91951200619569,6,00:00,45.90784,15.4014
20pct,0,20_17,112.10421132410113,17.495788675898858,3,00:00,45.91234,15.45311
20pct,0,20_19,66.87355156753928,19.52644843246071,2,00:00,45.91234,15.46604
20pct,0,20_20,38.2732313045836,4.9267686954164,1,00:00,45.91234,15.4725
20pct,0,20_24,32.27575768742395,10.92424231257605,1,00:00,45.91234,15.49836
20pct,0,20_26,1029.3071820480914,223.49281795190868,29,00:00,45.91234,15.51128
20pct,0,20_27,1271.7792880943443,240.2207119056557,35,00:00,45.91234,15.51775
20pct,0,20_28,1270.622978780118,198.1770212198818,34,00:00,45.91234,15.52421
20pct,0,20_29,780.8271576909849,126.37284230901507,21,00:00,45.91234,15.53067
20pct,0,20_6,239.71101274262622,62.68898725737378,7,00:00,45.91234,15.38201
