scenarij,TimeStep,celica,pos_zgornja,neg_zgornja,vozila_zgornja,Cas,sredisce_lat,sredisce_lon
10pct,0,10_16,62.85649317544249,23.543506824557504,2,00:00,45.8673,15.44665
10pct,0,10_17,190.5850949733225,25.41490502667752,5,00:00,45.8673,15.45311
10pct,0,10_18,106.4019837201393,23.198016279860706,3,00:00,45.8673,15.45957
10pct,0,10_23,111.98071972107037,17.619280278929626,3,00:00,45.8673,15.49189
10pct,0,10_24,144.4283551984771,28.37164480152288,4,00:00,45.8673,15.49836
10pct,0,11_16,624.2703202378877,66.92967976211224,16,00:00,45.8718,15.44665
10pct,0,11_21,35.8661807187051,7.333819281294898,1,00:00,45.8718,15.47897
10pct,0,12_16,312.1425560172184,76.65744398278164,9,00:00,45.87631,15.44665
10pct,0,12_17,140.65416058064824,32.14583941935177,4,00:00,45.87631,15.45311
10pct,0,12_21,789.0404171230053,118.15958287699459,21,00:00,45.87631,15.47897
10pct,0,13_16,155.6019615448377,17.198038455162298,4,00:00,45.88081,15.44665
10pct,0,13_17,618.5068788976482,115.89312110235184,17,00:00,45.88081,15.45311
10pct,0,13_20,102.24767819800664,27.35232180199335,3,00:00,45.88081,15.4725
10pct,0,13_21,425.4310936186365,92.9689063813635,12,00:00,45.88081,15.47897
10pct,0,14_15,205.45114806787808,53.748851932121894,6,00:00,45.88532,15.44018
10pct,0,14_17,104.595135349099,25.004864650901,3,00:00,45.88532,15.45311
10pct,0,14_18,33.61120224420608,9.588797755793914,1,00:00,45.88532,15.45957
10pct,0,15_15,76.27556812099047,10.124431879009538,2,00:00,45.88982,15.44018
10pct,0,15_17,459.0491435049538,59.35085649504618,12,00:00,45.88982,15.45311
10pct,0,15_18,33.73507645567136,9.464923544328638,1,00:00,45.88982,15.45957
10pct,0,16_16,37.14076179276331,6.059238207236698,1,00:00,45.89432,15.44665
10pct,0,16_17,107.2813734499374,22.318626550062607,3,00:00,45.89432,15.45311
10pct,0,16_18,281.9953293591194,63.60467064088063,8,00:00,45.89432,15.45957
10pct,0,16_6,72.924271555648,13.475728444351983,2,00:00,45.89432,15.38201
10pct,0,17_15,33.29807963590139,9.901920364098611,1,00:00,45.89883,15.44018
10pct,0,17_16,137.16310375483505,35.63689624516495,4,00:00,45.89883,15.44665
10pct,0,17_17,690.4350713637286,130.36492863627126,19,00:00,45.89883,15.45311
10pct,0,17_18,338.0330248584015,50.76697514159845,9,00:00,45.89883,15.45957
10pct,0,17_19,203.6621337235507,55.53786627644928,6,00:00,45.89883,15.46604
10pct,0,17_2,142.1533755467074,30.64662445329261,4,00:00,45.89883,15.35616
10pct,0,17_20,192.29761197726992,23.702388022730066,5,00:00,45.89883,15.4725
10pct,0,17_21,281.5557718503156,64.04422814968444,8,00:00,45.89883,15.47897
10pct,0,17_3,113.27536739593091,16.324632604069095,3,00:00,45.89883,15.36262
10pct,0,17_5,133.24063057516392,39.55936942483607,4,00:00,45.89883,15.37555
10pct,0,17_6,42.27180399133423,0.9281960086657659,1,00:00,45.89883,15.38201
10pct,0,18_15,340.2444673042713,91.7555326957287,10,00:00,45.90333,15.44018
10pct,0,18_16,214.2939357426549,44.906064257345115,6,00:00,45.90333,15.44665
10pct,0,18_2,91.36873170581893,38.23126829418106,3,00:00,45.90333,15.35616
10pct,0,18_21,367.8982554795117,64.1017445204883,10,00:00,45.90333,15.47897
10pct,0,18_23,251.5029388701128,50.89706112988718,7,00:00,45.90333,15.49189
10pct,0,18_3,65.9199590155001,20.480040984499908,2,00:00,45.90333,15.36262
10pct,0,18_5,35.53401969542299,7.665980304577014,1,00:00,45.90333,15.37555
10pct,0,18_7,122.62552659605959,6.974473403940401,3,00:00,45.90333,15.38848
10pct,0,18_9,83.04552247047312,3.354477529526898,2,00:00,45.90333,15.4014
10pct,0,19_15,72.24479075122065,14.155209248779363,2,00:00,45.90784,15.44018
10pct,0,19_16,419.89184342801764,98.50815657198231,12,00:00,45.90784,15.44665
10pct,0,19_17,39.66150981510565,3.538490184894354,1,00:00,45.90784,15.45311
