scenarij,TimeStep,kategorija,pos_zgornja,neg_zgornja,vozila_zgornja,pos_spodnja,neg_spodnja,vozila_spodnja,Cas
10pct,0,stanovanjsko,60399.64479922563,12176.355200774375,1680,0.0,0.0,0.0,00:00
10pct,1,stanovanjsko,60399.64479922563,12176.355200774375,1680,0.0,0.0,0.0,00:15
10pct,2,stanovanjsko,60399.64479922563,12176.355200774375,1680,0.0,0.0,0.0,00:30
10pct,3,stanovanjsko,60399.64479922563,12176.355200774375,1680,0.0,0.0,0.0,00:45
10pct,4,stanovanjsko,60399.64479922563,12176.355200774375,1680,0.0,0.0,0.0,01:00
10pct,5,stanovanjsko,60399.64479922563,12176.355200774375,1680,0.0,0.0,0.0,01:15
10pct,6,stanovanjsko,60399.64479922563,12176.355200774375,1680,0.0,0.0,0.0,01:30
10pct,7,stanovanjsko,60399.64479922563,12176.355200774375,1680,0.0,0.0,0.0,01:45
10pct,8,stanovanjsko,60399.64479922563,12176.355200774375,1680,0.0,0.0,0.0,02:00
10pct,9,stanovanjsko,60399.64479922563,12176.355200774375,1680,0.0,0.0,0.0,02:15
10pct,10,stanovanjsko,60399.64479922563,12176.355200774375,1680,0.0,0.0,0.0,02:30
10pct,11,stanovanjsko,60399.64479922563,12176.355200774375,1680,0.0,0.0,0.0,02:45
10pct,12,stanovanjsko,60399.64479922563,12176.355200774375,1680,0.0,0.0,0.0,03:00
10pct,13,stanovanjsko,60399.64479922563,12176.355200774375,1680,0.0,0.0,0.0,03:15
10pct,14,stanovanjsko,60399.64479922563,12176.355200774375,1680,0.0,0.0,0.0,03:30
10pct,15,stanovanjsko,60399.64479922563,12176.355200774375,1680,0.0,0.0,0.0,03:45
10pct,16,stanovanjsko,60399.64479922563,12176.355200774375,1680,0.0,0.0,0.0,04:00
10pct,17,stanovanjsko,60399.64479922563,12176.355200774375,1680,0.0,0.0,0.0,04:15
10pct,18,stanovanjsko,60399.64479922563,12176.355200774375,1680,0.0,0.0,0.0,04:30
10pct,19,stanovanjsko,60399.64479922563,12176.355200774375,1680,0.0,0.0,0.0,04:45
10pct,20,stanovanjsko,60399.64479922563,12176.355200774375,1680,0.0,0.0,0.0,05:00
10pct,21,stanovanjsko,60399.64479922563,12176.355200774375,1680,0.0,0.0,0.0,05:15
10pct,22,stanovanjsko,60399.64479922563,12176.355200774375,1680,0.0,0.0,0.0,05:30
10pct,23,stanovanjsko,60399.64479922563,12176.355200774375,1680,0.0,0.0,0.0,05:45
