scenarij,TimeStep,Cas,pos_flex_kWh_zgornja,neg_flex_kWh_zgornja,parkirana_vozila_zgornja,pos_flex_kWh_spodnja,neg_flex_kWh_spodnja,parkirana_vozila_spodnja
100pct,61,15:15,535112.0,147750.4,15807,199478.2,52032.2,5822
100pct,62,15:30,526463.4,146203.8,15571,181877.3,47255.5,5304
100pct,63,15:45,517350.0,145683.6,15348,160716.1,41805.5,4688
100pct,64,16:00,514011.8,146818.6,15297,137529.2,36134.8,4020
100pct,65,16:15,508289.6,146968.0,15168,111276.0,29469.6,3258
100pct,66,16:30,504623.0,147740.2,15101,86283.1,23185.7,2534
100pct,67,16:45,500145.0,148330.2,15011,63270.9,17210.7,1863
100pct,68,17:00,503114.8,150544.4,15131,43710.2,11974.6,1289
100pct,69,17:15,505290.9,152817.9,15234,27002.2,7860.2,807
100pct,70,17:30,510632.5,155900.3,15429,13606.0,4365.2,416
100pct,71,17:45,523932.5,161305.9,15862,10656.4,3556.4,329
100pct,72,18:00,533773.0,165159.8,16179,8310.4,2921.6,260
100pct,73,18:15,539177.8,167271.8,16353,6851.6,2522.8,217
100pct,74,18:30,541591.3,168443.9,16436,5770.1,2178.7,184
100pct,75,18:45,542104.5,169053.9,16462,5062.1,1893.1,161
100pct,76,19:00,543588.7,169988.9,16518,4397.5,1650.5,140
100pct,77,19:15,544229.5,170730.5,16550,3794.1,1433.1,121
100pct,78,19:30,544481.3,171256.3,16568,3192.6,1213.8,102
100pct,79,19:45,544216.9,171693.5,16572,2583.2,959.2,82
100pct,80,20:00,545724.8,172388.8,16623,2268.0,885.6,73
100pct,81,20:15,545878.2,172753.8,16635,1978.9,785.9,64
100pct,82,20:30,545804.0,173044.0,16640,1420.0,567.2,46
100pct,83,20:45,545746.1,173317.9,16645,1184.2,457.4,38
100pct,84,21:00,547044.3,173963.7,16690,980.2,402.2,32
100pct,85,21:15,547781.2,174263.6,16714,804.5,318.7,26
100pct,86,21:30,547373.7,174282.3,16705,576.3,201.3,18
100pct,87,21:45,547534.7,174510.1,16714,441.2,163.6,14
100pct,88,22:00,548108.3,174843.7,16735,311.5,120.5,10
100pct,89,22:15,548221.4,175119.4,16744,221.0,81.4,7
100pct,90,22:30,547913.5,175081.7,16736,97.7,31.9,3
100pct,91,22:45,548182.4,175158.4,16744,60.6,25.8,2
100pct,92,23:00,548591.1,175354.5,16758,27.6,15.6,1
100pct,93,23:15,549160.2,175649.4,16778,27.6,15.6,1
100pct,94,23:30,549277.8,175661.4,16781,0.0,0.0,0
100pct,95,23:45,549485.4,175799.4,16789,0.0,0.0,0
