scenarij,TimeStep,Cas,pos_flex_kWh_zgornja,neg_flex_kWh_zgornja,parkirana_vozila_zgornja,pos_flex_kWh_spodnja,neg_flex_kWh_spodnja,parkirana_vozila_spodnja
100pct,0,00:00,604142.7,121746.9,16803,0.0,0.0,0
100pct,1,00:15,604142.7,121746.9,16803,0.0,0.0,0
100pct,2,00:30,604142.7,121746.9,16803,0.0,0.0,0
100pct,3,00:45,604142.7,121746.9,16803,0.0,0.0,0
100pct,4,01:00,604142.7,121746.9,16803,0.0,0.0,0
100pct,5,01:15,604142.7,121746.9,16803,0.0,0.0,0
100pct,6,01:30,604142.7,121746.9,16803,0.0,0.0,0
100pct,7,01:45,604142.7,121746.9,16803,0.0,0.0,0
100pct,8,02:00,604142.7,121746.9,16803,0.0,0.0,0
100pct,9,02:15,604142.7,121746.9,16803,0.0,0.0,0
100pct,10,02:30,604142.7,121746.9,16803,0.0,0.0,0
100pct,11,02:45,604142.7,121746.9,16803,0.0,0.0,0
100pct,12,03:00,604142.7,121746.9,16803,0.0,0.0,0
100pct,13,03:15,604142.7,121746.9,16803,0.0,0.0,0
100pct,14,03:30,604142.7,121746.9,16803,0.0,0.0,0
100pct,15,03:45,604142.7,121746.9,16803,0.0,0.0,0
100pct,16,04:00,604142.7,121746.9,16803,0.0,0.0,0
100pct,17,04:15,604142.7,121746.9,16803,0.0,0.0,0
100pct,18,04:30,604142.7,121746.9,16803,0.0,0.0,0
100pct,19,04:45,604142.7,121746.9,16803,0.0,0.0,0
100pct,20,05:00,604142.7,121746.9,16803,0.0,0.0,0
100pct,21,05:15,604142.7,121746.9,16803,0.0,0.0,0
100pct,22,05:30,604142.7,121746.9,16803,0.0,0.0,0
100pct,23,05:45,604142.7,121746.9,16803,0.0,0.0,0
100pct,24,06:00,596216.6,119996.2,16579,0.0,0.0,0
100pct,25,06:15,590389.7,119127.1,16424,1228.2,327.0,36
100pct,26,06:30,588420.0,119109.6,16378,3978.1,1033.1,116
100pct,27,06:45,588644.8,119835.2,16400,6704.0,1763.2,196
100pct,28,07:00,587053.9,119870.9,16364,9813.2,2498.8,285
100pct,29,07:15,525428.4,107581.2,14653,12667.8,3186.6,367
100pct,30,07:30,489926.5,101913.5,13700,27981.9,7010.1,810
100pct,31,07:45,476136.0,101707.2,13376,53715.4,13503.8,1556
100pct,32,08:00,483568.9,106629.5,13662,84685.1,21198.1,2451
100pct,33,08:15,478309.4,108346.6,13580,112623.6,28251.6,3261
100pct,34,08:30,477474.3,111125.7,13625,140127.8,35005.0,4054
100pct,35,08:45,482000.1,115628.7,13834,167295.7,41878.7,4842
100pct,36,09:00,485088.8,119236.0,13989,191561.0,48112.6,5548
100pct,37,09:15,526647.7,130510.7,15212,212800.5,53484.3,6164
100pct,38,09:30,550221.4,137695.4,15924,224202.2,56511.4,6498
100pct,39,09:45,561348.4,141299.6,16265,230361.8,58041.4,6676
100pct,40,10:00,564554.2,142629.8,16370,232591.9,58619.3,6741
100pct,41,10:15,561643.3,142559.9,16301,231279.1,58376.9,6705
100pct,42,10:30,560275.0,142934.6,16278,230253.4,58193.0,6677
100pct,43,10:45,558886.3,143286.5,16254,228298.8,57814.8,6623
100pct,44,11:00,560452.7,144182.5,16311,227471.7,57648.3,6600
100pct,45,11:15,561439.2,144924.0,16351,226156.3,57278.9,6561
100pct,46,11:30,560505.0,145253.4,16337,225364.1,57163.9,6540
100pct,47,11:45,560875.9,145962.5,16362,224719.0,57074.6,6523
100pct,48,12:00,561425.5,146363.3,16384,224111.6,56947.6,6506
100pct,49,12:15,559717.2,146775.6,16354,223116.5,56905.9,6482
100pct,50,12:30,559099.5,147263.7,16351,222241.8,56873.4,6461
100pct,51,12:45,558677.7,147599.1,16349,221887.3,56925.5,6454
100pct,52,13:00,560137.8,148644.6,16407,222982.5,57385.5,6490
100pct,53,13:15,559801.6,149240.0,16413,224219.2,57876.8,6530
100pct,54,13:30,560085.4,149820.2,16433,225112.6,58279.4,6560
100pct,55,13:45,559425.6,150134.4,16425,225443.8,58596.2,6575
100pct,56,14:00,558326.9,150239.5,16402,225977.6,58840.0,6593
100pct,57,14:15,556412.2,150339.8,16360,224519.6,58526.8,6552
100pct,58,14:30,555291.8,150725.8,16343,222477.1,58063.7,6494
100pct,59,14:45,552458.6,150621.4,16275,219114.7,57149.3,6395
100pct,60,15:00,548895.7,150469.1,16189,214603.2,55958.4,6263
