scenarij,TimeStep,celica,pos_zgornja,neg_zgornja,vozila_zgornja,Cas,sredisce_lat,sredisce_lon
100pct,0,10_16,1173.7511295143872,251.8488704856129,33,00:00,45.8673,15.44665
100pct,0,10_17,2149.2311607187685,529.1688392812317,62,00:00,45.8673,15.45311
100pct,0,10_18,1485.336605886569,242.6633941134309,40,00:00,45.8673,15.45957
100pct,0,10_19,895.1226011623893,184.87739883761066,25,00:00,45.8673,15.46604
100pct,0,10_22,59.16939330118596,27.230606698814043,2,00:00,45.8673,15.48543
100pct,0,10_23,2617.6518744568098,579.1481255431904,74,00:00,45.8673,15.49189
100pct,0,10_24,1442.7446514750022,242.05534852499775,39,00:00,45.8673,15.49836
100pct,0,11_16,5294.054468212062,1056.3455317879386,147,00:00,45.8718,15.44665
100pct,0,11_19,77.3769063205402,9.023093679459798,2,00:00,45.8718,15.46604
100pct,0,11_21,33.80650034163701,9.393499658362993,1,00:00,45.8718,15.47897
100pct,0,12_16,3003.949752820659,581.6502471793412,83,00:00,45.87631,15.44665
100pct,0,12_17,1480.7093187844555,290.49068121554444,41,00:00,45.87631,15.45311
100pct,0,12_20,76.0252568973215,10.374743102678499,2,00:00,45.87631,15.4725
100pct,0,12_21,8519.97964242832,1718.4203575716804,237,00:00,45.87631,15.47897
100pct,0,13_16,1194.9992534080754,230.60074659192443,33,00:00,45.88081,15.44665
100pct,0,13_17,3889.372300332397,689.8276996676032,106,00:00,45.88081,15.45311
100pct,0,13_20,1575.7121266607146,281.88787333928553,43,00:00,45.88081,15.4725
100pct,0,13_21,2519.5995743732506,504.4004256267492,70,00:00,45.88081,15.47897
100pct,0,14_15,898.3649779710258,138.4350220289741,24,00:00,45.88532,15.44018
100pct,0,14_17,612.7743135370727,121.62568646292733,17,00:00,45.88532,15.45311
100pct,0,14_18,458.75986862057186,102.84013137942813,13,00:00,45.88532,15.45957
100pct,0,14_20,64.37182376163192,22.02817623836809,2,00:00,45.88532,15.4725
100pct,0,15_15,531.0266194947509,116.97338050524912,15,00:00,45.88982,15.44018
100pct,0,15_17,3025.446542738161,603.3534572618388,84,00:00,45.88982,15.45311
100pct,0,15_18,174.13389596674,41.866104033260015,5,00:00,45.88982,15.45957
100pct,0,16_17,1107.6232252182394,231.57677478176055,31,00:00,45.89432,15.45311
100pct,0,16_18,2149.2512967090006,399.5487032909994,59,00:00,45.89432,15.45957
100pct,0,16_5,827.267899122361,166.33210087763905,23,00:00,45.89432,15.37555
100pct,0,16_6,415.9711594704911,102.42884052950888,12,00:00,45.89432,15.38201
100pct,0,17_14,324.11226101719245,64.68773898280756,9,00:00,45.89883,15.43372
100pct,0,17_15,316.84648031360103,71.953519686399,9,00:00,45.89883,15.44018
100pct,0,17_16,257.1888783873394,45.211121612660655,7,00:00,45.89883,15.44665
100pct,0,17_17,5796.114874545294,1202.2851254547065,162,00:00,45.89883,15.45311
100pct,0,17_18,2526.5135490252515,540.6864509747486,71,00:00,45.89883,15.45957
100pct,0,17_19,3023.9659932709055,604.8340067290944,84,00:00,45.89883,15.46604
100pct,0,17_2,522.6492984160886,82.15070158391129,14,00:00,45.89883,15.35616
100pct,0,17_20,3265.923688025613,708.4763119743866,92,00:00,45.89883,15.4725
100pct,0,17_21,2579.9524790149203,400.84752098507954,69,00:00,45.89883,15.47897
100pct,0,17_3,924.5968721886375,155.4031278113625,25,00:00,45.89883,15.36262
100pct,0,17_5,1056.514923570574,196.2850764294262,29,00:00,45.89883,15.37555
100pct,0,17_6,398.64488086197036,76.55511913802968,11,00:00,45.89883,15.38201
100pct,0,18_14,185.49608613213752,30.503913867862494,5,00:00,45.90333,15.43372
100pct,0,18_15,3430.6114001537385,716.5885998462616,96,00:00,45.90333,15.44018
100pct,0,18_16,1219.2886102875957,249.51138971240417,34,00:00,45.90333,15.44665
100pct,0,18_2,884.9726398634378,195.0273601365622,25,00:00,45.90333,15.35616
100pct,0,18_21,3227.3886946828025,747.0113053171976,92,00:00,45.90333,15.47897
100pct,0,18_23,3075.2586092746837,596.7413907253163,85,00:00,45.90333,15.49189
100pct,0,18_3,1530.5854101806485,327.0145898193516,43,00:00,45.90333,15.36262
100pct,0,18_5,83.04164935764992,3.358350642350081,2,00:00,45.90333,15.37555
100pct,0,18_7,691.6915038253426,129.1084961746575,19,00:00,45.90333,15.38848
100pct,0,18_9,791.3148369031949,159.08516309680516,22,00:00,45.90333,15.4014
100pct,0,19_15,2374.8142334319496,433.18576656805055,65,00:00,45.90784,15.44018
100pct,0,19_16,4211.058738802898,756.9412611971015,115,00:00,45.90784,15.44665
100pct,0,19_17,1406.358774662608,321.641225337392,40,00:00,45.90784,15.45311
100pct,0,19_23,672.4586041871665,191.54139581283343,20,00:00,45.90784,15.49189
100pct,0,19_29,36.11470814567945,7.0852918543205465,1,00:00,45.90784,15.53067
100pct,0,19_4,104.19498200864793,25.405017991352068,3,00:00,45.90784,15.36909
